Distance from Tangos Halo	x	y	z	vx	vy	vz	Mean [Fe/H]	Mean Tform	Total Stellar Mass	Half-light radius	Simulation	Output Number	Tangos Halo ID	Internal ID	Count ID	Mask Out
kpc	kpc	kpc	kpc	km s**-1	km s**-1	km s**-1	dec	Myr	log10(msol)	pc	N/A	N/A	N/A	N/A	N/A	N/A
1.68208376	0.556187433	1.554647032	-0.321144701	10.74403962	15.47225614	-4.238676402	-1.527195128	1787.10484	3.775646571	5.585788827	Halo383_Massive	37	0	113	113	0
0.453476011	0.012575388	-0.02360512	-0.452686592	-8.544244039	-12.81169303	-4.429918893	-1.499894176	1720.292037	3.594442791	5.552028433	Halo383_Massive	35	0	115	115	0
3.853091012	-0.991476594	-3.715064373	-0.248155629	-5.076704877	-5.840136573	10.08664266	-1.359341545	1786.040223	3.84030356	2.810459109	Halo383_Massive	37	0	116	116	0
3.87945835	-1.146123171	-3.699218542	-0.22886885	-4.758695764	0.367633564	4.761040343	-1.383894971	1785.273966	3.890003714	7.997332384	Halo383_Massive	37	0	117	117	0
1.505156473	-0.675736849	-0.017250918	-1.344833865	-1.568669426	-3.256333588	-9.157830125	-1.444143199	1738.799731	3.478174275	11.78392633	Halo383_Massive	36	0	119	119	0
1.830074053	-0.580725175	-1.720202445	0.229853988	-10.92353213	-2.092370805	17.7944539	-1.472050783	1725.723977	3.841844521	7.585036815	Halo383_Massive	35	0	120	120	0
1.643188268	-0.48526187	-1.568013942	-0.076947254	-8.851741782	-1.178701276	7.954141154	-1.421834422	1732.185805	3.811770625	7.047463508	Halo383_Massive	35	0	121	121	0
0.440564456	-0.00233375	-0.185416802	-0.399640092	-6.617636737	-18.4812553	1.452825771	-1.508386695	1730.745566	3.433983564	12.96371938	Halo383_Massive	35	0	122	122	0
0.049687501	0.049458416	-0.003083047	0.003634232	-0.236647991	-1.729041485	-0.628184893	-2.422812018	561.0823548	3.701082002	36.89980474	Halo383_Massive	14	2	123	123	0
2.72839342	1.872826722	1.963744488	0.283475412	12.49082376	11.94820145	-20.64509584	-1.595473222	1843.455929	4.269760313	4.088238663	Halo383_Massive	38	0	124	124	0
0.899814596	0.176955245	0.792297901	0.388094298	-10.22367494	-7.065929344	-3.505469376	-1.474664749	1809.246444	3.755241455	3.71552829	Halo383_Massive	38	0	125	125	0
1.424259007	-0.224978935	-1.392779901	-0.195095728	0.15498023	-22.31519842	8.051673225	-1.461644949	1738.721621	4.350921596	3.28929225	Halo383_Massive	36	0	126	126	0
0.614454598	-0.332666096	-0.082440787	0.509991409	24.83118387	11.71306386	12.25653375	-1.45165302	1856.120269	3.922308276	24.34395905	Halo383_Massive	38	0	127	127	0
0.66922437	-0.575400852	-0.222138684	0.259671951	15.4286385	17.62089359	20.3298063	-1.43800815	1816.628126	3.711289251	20.93650111	Halo383_Massive	38	0	128	128	0
2.422504981	1.101809305	2.142923163	0.249853868	-5.728576154	-1.296600738	-3.116472554	-1.516302998	1739.682889	4.356483375	4.482127216	Halo383_Massive	36	0	129	129	0
0.357887164	0.114186078	0.159872916	0.299141125	-4.607153988	-10.83193878	-17.69458732	-1.416378153	1772.671761	3.625415281	12.38766626	Halo383_Massive	38	0	130	130	0
0.392173093	0.106770063	0.364266393	-0.098538739	-14.09282786	-26.10799545	3.773105315	-1.346088628	1887.868316	3.928630595	15.73434281	Halo383_Massive	39	0	132	132	0
0.958420824	0.224016695	0.899280505	0.244298114	-11.23291428	-7.606796253	-0.946812303	-1.492621736	1789.449863	3.503598592	20.24274909	Halo383_Massive	38	0	133	133	0
3.115285178	0.844566137	-2.202741593	-2.034610345	-13.48885455	11.56867818	18.32973697	-1.521547571	1511.946835	3.741142038	8.705373904	Halo383_Massive	30	0	134	134	0
1.895413617	-0.119630655	-1.886954492	0.132981314	10.10478338	7.957892331	-22.80904812	-1.455290516	1670.121486	3.627160691	14.54075198	Halo383_Massive	35	0	135	135	0
0.559355722	0.070481753	0.407697423	0.376422577	-6.16931028	-29.88829547	5.326002738	-1.415348734	1885.635572	3.696007667	15.8226991	Halo383_Massive	39	0	136	136	0
0.720648495	0.708475416	0.039228957	-0.125928263	-5.847778892	0.569882805	2.027894042	-1.494649234	1862.818976	3.698125642	4.771241892	Halo383_Massive	38	0	137	137	0
0.4928091	0.098062758	0.259251226	0.407471848	17.54932079	-4.852898342	-15.91143162	-1.38781662	1893.768749	3.845678299	5.388669868	Halo383_Massive	39	0	139	139	0
2.641765766	1.822086385	1.798755019	-0.650698046	-9.045598628	-24.58257614	-23.27015019	-1.574853904	1909.871026	3.602846817	3.916595354	Halo383_Massive	40	0	140	140	0
2.375284144	1.621775627	1.33999497	-1.102829117	-17.53634063	-22.36220816	-10.15095149	-1.554468344	1911.051492	3.730208502	3.627007075	Halo383_Massive	40	0	141	141	0
1.663543826	1.147811564	1.015880008	-0.64644759	-13.63770034	-18.74207838	0.621573038	-1.545648226	1899.376732	3.740447446	11.50295426	Halo383_Massive	40	0	142	142	0
1.539104495	1.019085471	0.987311382	-0.59625807	-18.6797526	-22.80850113	4.029761022	-1.525812198	1911.176307	3.821727961	21.57054089	Halo383_Massive	40	0	143	143	0
0.360251435	-0.037223999	0.095451966	-0.345375726	-17.32039259	-23.92633062	-10.09540155	-1.348674314	1902.50531	3.876664069	44.44943883	Halo383_Massive	40	0	144	144	0
0.496099075	-0.236654873	0.379936187	0.213909458	3.107127554	-14.24808215	1.369375044	-1.293673425	1923.418525	3.781410556	4.249658493	Halo383_Massive	40	0	145	145	0
2.621711349	0.978521851	2.398133298	0.405982843	0.555188433	18.23024257	-14.54280821	-1.383083682	1735.40316	3.975400419	5.722666468	Halo383_Massive	35	0	146	146	0
0.360429014	-0.096105264	-0.168305213	-0.303885188	-1.02938303	-21.78068245	-7.756083337	-1.328086825	1923.812335	3.835125802	3.280946639	Halo383_Massive	40	0	147	147	0
0.182486683	0.070480726	-0.032284997	0.1652015	11.54709344	0.571480709	-6.439294331	-1.26721744	1896.291141	3.830880775	4.203583094	Halo383_Massive	40	0	148	148	0
0.353310161	-0.27141039	0.225918035	-0.011203211	-32.46241043	-29.375235	19.70800582	-1.480187432	1875.334337	4.014051181	3.385881602	Halo383_Massive	39	0	149	149	0
1.695144773	1.120495454	1.260503265	0.170696392	7.821565651	4.610709414	1.057784881	-1.545271036	1776.697865	3.90439202	24.41136153	Halo383_Massive	37	0	150	150	0
1.409419094	1.174136796	-0.547148088	-0.555422304	-18.05409452	-24.87873048	4.735453395	-1.565464858	1982.482309	3.794107446	5.527846441	Halo383_Massive	41	0	153	153	0
2.22476337	1.863291324	1.041010519	-0.627705817	7.208997224	-23.13117231	-9.758258064	-1.657954304	1921.359453	3.651014934	5.112191348	Halo383_Massive	40	0	154	154	0
1.281900653	-0.482592382	-0.930060903	0.738485337	16.3430099	-16.89715426	-2.041832118	-1.418907356	1959.867716	3.759848981	10.8209113	Halo383_Massive	41	0	157	157	0
